latitude,longitude,state,grid_cell_id,population_total,population_at_risk,area_km2,density_per_km2,elevation_proxy_m,landslide_exposure_class,is_synthetic,data_source
27.45,88.15,Sikkim,POP_00016,1777,1066,109.39,16.2,1501.7,HIGH,True,SYNTHETIC_DEMO
27.55,88.15,Sikkim,POP_00017,12042,7225,109.29,110.2,1625.7,HIGH,True,SYNTHETIC_DEMO
27.65,88.15,Sikkim,POP_00018,6644,3986,109.19,60.8,1574.2,HIGH,True,SYNTHETIC_DEMO
27.75,88.15,Sikkim,POP_00019,19934,11960,109.09,182.7,2121.4,HIGH,True,SYNTHETIC_DEMO
27.85,88.15,Sikkim,POP_00020,13340,8004,108.99,122.4,1735.7,HIGH,True,SYNTHETIC_DEMO
27.95,88.15,Sikkim,POP_00021,6101,1830,108.89,56.0,1305.0,MEDIUM,True,SYNTHETIC_DEMO
28.05,88.15,Sikkim,POP_00022,10487,3146,108.79,96.4,947.6,MEDIUM,True,SYNTHETIC_DEMO
28.15,88.15,Sikkim,POP_00023,7831,2349,108.69,72.1,1200.3,MEDIUM,True,SYNTHETIC_DEMO
27.05,88.25,Sikkim,POP_00024,2241,672,109.78,20.4,1332.1,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.25,Sikkim,POP_00025,3580,1074,109.68,32.6,971.7,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.25,Sikkim,POP_00026,16149,4844,109.58,147.4,1254.7,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.25,Sikkim,POP_00027,3666,2199,109.49,33.5,1752.0,HIGH,True,SYNTHETIC_DEMO
27.45,88.25,Sikkim,POP_00028,2378,1426,109.39,21.7,1516.8,HIGH,True,SYNTHETIC_DEMO
27.55,88.25,Sikkim,POP_00029,9408,2822,109.29,86.1,1210.0,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.25,Sikkim,POP_00030,4364,1309,109.19,40.0,1266.2,MEDIUM,True,SYNTHETIC_DEMO
27.75,88.25,Sikkim,POP_00031,20509,6152,109.09,188.0,1315.7,MEDIUM,True,SYNTHETIC_DEMO
27.85,88.25,Sikkim,POP_00032,21158,12694,108.99,194.1,1715.6,HIGH,True,SYNTHETIC_DEMO
27.95,88.25,Sikkim,POP_00033,7074,2122,108.89,65.0,1476.0,MEDIUM,True,SYNTHETIC_DEMO
28.05,88.25,Sikkim,POP_00034,3094,1856,108.79,28.4,1960.1,HIGH,True,SYNTHETIC_DEMO
28.15,88.25,Sikkim,POP_00035,14205,8523,108.69,130.7,1738.7,HIGH,True,SYNTHETIC_DEMO
27.05,88.35,Sikkim,POP_00036,8755,2626,109.78,79.7,1192.5,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.35,Sikkim,POP_00037,8251,4950,109.68,75.2,1881.1,HIGH,True,SYNTHETIC_DEMO
27.25,88.35,Sikkim,POP_00038,11507,3452,109.58,105.0,1378.3,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.35,Sikkim,POP_00039,7895,4737,109.49,72.1,1572.2,HIGH,True,SYNTHETIC_DEMO
27.45,88.35,Sikkim,POP_00040,4809,1442,109.39,44.0,1139.9,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.35,Sikkim,POP_00041,5844,3506,109.29,53.5,1715.0,HIGH,True,SYNTHETIC_DEMO
27.65,88.35,Sikkim,POP_00042,1903,570,109.19,17.4,1486.0,MEDIUM,True,SYNTHETIC_DEMO
27.75,88.35,Sikkim,POP_00043,3166,1899,109.09,29.0,2070.8,HIGH,True,SYNTHETIC_DEMO
27.85,88.35,Sikkim,POP_00044,5964,3578,108.99,54.7,1808.7,HIGH,True,SYNTHETIC_DEMO
27.95,88.35,Sikkim,POP_00045,7867,2360,108.89,72.2,1321.1,MEDIUM,True,SYNTHETIC_DEMO
28.05,88.35,Sikkim,POP_00046,15756,9453,108.79,144.8,1761.3,HIGH,True,SYNTHETIC_DEMO
28.15,88.35,Sikkim,POP_00047,7677,4606,108.69,70.6,1707.3,HIGH,True,SYNTHETIC_DEMO
27.05,88.45,Sikkim,POP_00048,24719,7415,109.78,225.2,1385.9,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.45,Sikkim,POP_00049,7705,2311,109.68,70.2,1261.4,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.45,Sikkim,POP_00050,18245,5473,109.58,166.5,1420.1,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.45,Sikkim,POP_00051,8115,4869,109.49,74.1,1629.5,HIGH,True,SYNTHETIC_DEMO
27.45,88.45,Sikkim,POP_00052,5357,1607,109.39,49.0,1258.1,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.45,Sikkim,POP_00053,16686,5005,109.29,152.7,1344.9,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.45,Sikkim,POP_00054,9157,2747,109.19,83.9,1315.2,MEDIUM,True,SYNTHETIC_DEMO
27.75,88.45,Sikkim,POP_00055,2109,632,109.09,19.3,1485.7,MEDIUM,True,SYNTHETIC_DEMO
27.85,88.45,Sikkim,POP_00056,8421,5052,108.99,77.3,2399.5,HIGH,True,SYNTHETIC_DEMO
27.95,88.45,Sikkim,POP_00057,12289,3686,108.89,112.9,1214.1,MEDIUM,True,SYNTHETIC_DEMO
28.05,88.45,Sikkim,POP_00058,4770,2862,108.79,43.8,1887.1,HIGH,True,SYNTHETIC_DEMO
28.15,88.45,Sikkim,POP_00059,11761,3528,108.69,108.2,1447.9,MEDIUM,True,SYNTHETIC_DEMO
27.05,88.55,Sikkim,POP_00060,2189,218,109.78,19.9,662.9,LOW,True,SYNTHETIC_DEMO
27.15,88.55,Sikkim,POP_00061,4647,1394,109.68,42.4,1264.5,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.55,Sikkim,POP_00062,14081,4224,109.58,128.5,1314.1,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.55,Sikkim,POP_00063,19163,5748,109.49,175.0,1476.0,MEDIUM,True,SYNTHETIC_DEMO
27.45,88.55,Sikkim,POP_00064,13227,3968,109.39,120.9,1002.9,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.55,Sikkim,POP_00065,15172,9103,109.29,138.8,1568.0,HIGH,True,SYNTHETIC_DEMO
27.65,88.55,Sikkim,POP_00066,2246,673,109.19,20.6,1421.4,MEDIUM,True,SYNTHETIC_DEMO
27.75,88.55,Sikkim,POP_00067,13136,7881,109.09,120.4,1725.4,HIGH,True,SYNTHETIC_DEMO
27.85,88.55,Sikkim,POP_00068,3391,2034,108.99,31.1,1748.3,HIGH,True,SYNTHETIC_DEMO
27.95,88.55,Sikkim,POP_00069,4448,2668,108.89,40.8,1621.2,HIGH,True,SYNTHETIC_DEMO
28.05,88.55,Sikkim,POP_00070,7563,4537,108.79,69.5,1735.0,HIGH,True,SYNTHETIC_DEMO
28.15,88.55,Sikkim,POP_00071,17395,5218,108.69,160.0,1120.5,MEDIUM,True,SYNTHETIC_DEMO
27.05,88.65,Sikkim,POP_00072,2823,846,109.78,25.7,1192.8,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.65,Sikkim,POP_00073,13724,8234,109.68,125.1,1679.8,HIGH,True,SYNTHETIC_DEMO
27.25,88.65,Sikkim,POP_00074,12104,1210,109.58,110.5,650.3,LOW,True,SYNTHETIC_DEMO
27.35,88.65,Sikkim,POP_00075,8144,2443,109.49,74.4,1371.9,MEDIUM,True,SYNTHETIC_DEMO
27.45,88.65,Sikkim,POP_00076,12139,3641,109.39,111.0,1329.1,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.65,Sikkim,POP_00077,8502,2550,109.29,77.8,995.6,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.65,Sikkim,POP_00078,31805,19083,109.19,291.3,1601.0,HIGH,True,SYNTHETIC_DEMO
27.75,88.65,Sikkim,POP_00079,5393,1617,109.09,49.4,1083.2,MEDIUM,True,SYNTHETIC_DEMO
27.85,88.65,Sikkim,POP_00080,18745,5623,108.99,172.0,1450.4,MEDIUM,True,SYNTHETIC_DEMO
27.95,88.65,Sikkim,POP_00081,6673,4003,108.89,61.3,1614.7,HIGH,True,SYNTHETIC_DEMO
28.05,88.65,Sikkim,POP_00082,16737,10042,108.79,153.8,1533.4,HIGH,True,SYNTHETIC_DEMO
28.15,88.65,Sikkim,POP_00083,1171,351,108.69,10.8,1385.4,MEDIUM,True,SYNTHETIC_DEMO
27.05,88.75,Sikkim,POP_00084,8729,2618,109.78,79.5,1310.6,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.75,Sikkim,POP_00085,1659,497,109.68,15.1,1068.1,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.75,Sikkim,POP_00086,22923,6876,109.58,209.2,1109.0,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.75,Sikkim,POP_00087,22345,6703,109.49,204.1,1089.7,MEDIUM,True,SYNTHETIC_DEMO
27.45,88.75,Sikkim,POP_00088,3636,1090,109.39,33.2,1315.0,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.75,Sikkim,POP_00089,12666,3799,109.29,115.9,1117.1,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.75,Sikkim,POP_00090,6472,1941,109.19,59.3,1386.0,MEDIUM,True,SYNTHETIC_DEMO
27.75,88.75,Sikkim,POP_00091,11323,6793,109.09,103.8,1896.0,HIGH,True,SYNTHETIC_DEMO
27.85,88.75,Sikkim,POP_00092,25687,7706,108.99,235.7,1374.9,MEDIUM,True,SYNTHETIC_DEMO
27.95,88.75,Sikkim,POP_00093,13110,7866,108.89,120.4,1561.1,HIGH,True,SYNTHETIC_DEMO
28.05,88.75,Sikkim,POP_00094,1743,522,108.79,16.0,1452.1,MEDIUM,True,SYNTHETIC_DEMO
28.15,88.75,Sikkim,POP_00095,6005,1801,108.69,55.3,1276.0,MEDIUM,True,SYNTHETIC_DEMO
27.05,88.85,Sikkim,POP_00096,7806,2341,109.78,71.1,1468.4,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.85,Sikkim,POP_00097,39725,11917,109.68,362.2,1499.7,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.85,Sikkim,POP_00098,5149,3089,109.58,47.0,1546.7,HIGH,True,SYNTHETIC_DEMO
27.35,88.85,Sikkim,POP_00099,7487,2246,109.49,68.4,1325.6,MEDIUM,True,SYNTHETIC_DEMO
27.45,88.85,Sikkim,POP_00100,13990,4197,109.39,127.9,1155.6,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.85,Sikkim,POP_00101,6476,1942,109.29,59.3,1448.9,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.85,Sikkim,POP_00102,15317,9190,109.19,140.3,1711.1,HIGH,True,SYNTHETIC_DEMO
27.75,88.85,Sikkim,POP_00103,12344,7406,109.09,113.2,1608.4,HIGH,True,SYNTHETIC_DEMO
27.85,88.85,Sikkim,POP_00104,54265,16279,108.99,497.9,1350.2,MEDIUM,True,SYNTHETIC_DEMO
27.95,88.85,Sikkim,POP_00105,4805,1441,108.89,44.1,1285.7,MEDIUM,True,SYNTHETIC_DEMO
28.05,88.85,Sikkim,POP_00106,6813,4087,108.79,62.6,1658.4,HIGH,True,SYNTHETIC_DEMO
28.15,88.85,Sikkim,POP_00107,9252,5551,108.69,85.1,1960.2,HIGH,True,SYNTHETIC_DEMO
27.05,88.95,Sikkim,POP_00108,42220,12666,109.78,384.6,1497.5,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.95,Sikkim,POP_00109,9680,2904,109.68,88.3,1471.0,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.95,Sikkim,POP_00110,6975,2092,109.58,63.6,858.8,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.95,Sikkim,POP_00111,129604,12960,109.49,1183.7,550.5,LOW,True,SYNTHETIC_DEMO
27.45,88.95,Sikkim,POP_00112,37651,11295,109.39,344.2,1281.8,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.95,Sikkim,POP_00113,25636,7690,109.29,234.6,1025.9,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.95,Sikkim,POP_00114,8959,2687,109.19,82.1,1407.4,MEDIUM,True,SYNTHETIC_DEMO
27.75,88.95,Sikkim,POP_00115,20102,12061,109.09,184.3,1852.4,HIGH,True,SYNTHETIC_DEMO
27.85,88.95,Sikkim,POP_00116,11913,7147,108.99,109.3,1667.5,HIGH,True,SYNTHETIC_DEMO
27.95,88.95,Sikkim,POP_00117,5908,3544,108.89,54.3,1590.1,HIGH,True,SYNTHETIC_DEMO
28.05,88.95,Sikkim,POP_00118,9973,5983,108.79,91.7,1554.2,HIGH,True,SYNTHETIC_DEMO
28.15,88.95,Sikkim,POP_00119,12651,7590,108.69,116.4,1983.5,HIGH,True,SYNTHETIC_DEMO
24.15,89.75,Assam,POP_00120,33924,3392,112.47,301.6,348.7,LOW,True,SYNTHETIC_DEMO
24.25,89.75,Assam,POP_00121,14138,1413,112.38,125.8,653.1,LOW,True,SYNTHETIC_DEMO
24.35,89.75,Assam,POP_00122,65287,19586,112.29,581.4,892.6,MEDIUM,True,SYNTHETIC_DEMO
24.45,89.75,Assam,POP_00123,19565,1956,112.21,174.4,199.7,LOW,True,SYNTHETIC_DEMO
24.55,89.75,Assam,POP_00124,28733,2873,112.12,256.3,234.1,LOW,True,SYNTHETIC_DEMO
24.65,89.75,Assam,POP_00125,27278,2727,112.03,243.5,533.4,LOW,True,SYNTHETIC_DEMO
24.75,89.75,Assam,POP_00126,40688,4068,111.94,363.5,442.0,LOW,True,SYNTHETIC_DEMO
24.85,89.75,Assam,POP_00127,38036,11410,111.85,340.1,1087.7,MEDIUM,True,SYNTHETIC_DEMO
24.95,89.75,Assam,POP_00128,42254,4225,111.76,378.1,674.6,LOW,True,SYNTHETIC_DEMO
25.05,89.75,Assam,POP_00129,31826,3182,111.67,285.0,701.3,LOW,True,SYNTHETIC_DEMO
25.15,89.75,Assam,POP_00130,17541,5262,111.58,157.2,1053.4,MEDIUM,True,SYNTHETIC_DEMO
25.25,89.75,Assam,POP_00131,24648,7394,111.48,221.1,891.0,MEDIUM,True,SYNTHETIC_DEMO
25.35,89.75,Assam,POP_00132,78979,23693,111.39,709.0,832.2,MEDIUM,True,SYNTHETIC_DEMO
25.45,89.75,Assam,POP_00133,30587,3058,111.3,274.8,283.5,LOW,True,SYNTHETIC_DEMO
25.55,89.75,Assam,POP_00134,113524,11352,111.21,1020.8,584.1,LOW,True,SYNTHETIC_DEMO
25.65,89.75,Assam,POP_00135,9368,936,111.11,84.3,490.2,LOW,True,SYNTHETIC_DEMO
25.75,89.75,Assam,POP_00136,49436,4943,111.02,445.3,765.2,LOW,True,SYNTHETIC_DEMO
25.85,89.75,Assam,POP_00137,13828,1382,110.93,124.7,463.6,LOW,True,SYNTHETIC_DEMO
25.95,89.75,Assam,POP_00138,64780,19434,110.83,584.5,1302.3,MEDIUM,True,SYNTHETIC_DEMO
26.05,89.75,Assam,POP_00139,19806,1980,110.74,178.9,296.5,LOW,True,SYNTHETIC_DEMO
26.15,89.75,Assam,POP_00140,124864,37459,110.65,1128.5,999.0,MEDIUM,True,SYNTHETIC_DEMO
26.25,89.75,Assam,POP_00141,88764,26629,110.55,802.9,933.6,MEDIUM,True,SYNTHETIC_DEMO
26.35,89.75,Assam,POP_00142,146412,87847,110.46,1325.5,1699.3,HIGH,True,SYNTHETIC_DEMO
26.45,89.75,Assam,POP_00143,79571,47742,110.36,721.0,1694.0,HIGH,True,SYNTHETIC_DEMO
26.55,89.75,Assam,POP_00144,37540,11262,110.26,340.5,851.1,MEDIUM,True,SYNTHETIC_DEMO
26.65,89.75,Assam,POP_00145,129935,38980,110.17,1179.4,1139.7,MEDIUM,True,SYNTHETIC_DEMO
26.75,89.75,Assam,POP_00146,72518,21755,110.07,658.8,1095.9,MEDIUM,True,SYNTHETIC_DEMO
26.85,89.75,Assam,POP_00147,8446,844,109.98,76.8,425.6,LOW,True,SYNTHETIC_DEMO
26.95,89.75,Assam,POP_00148,48400,4840,109.88,440.5,778.1,LOW,True,SYNTHETIC_DEMO
27.05,89.75,Assam,POP_00149,5122,1536,109.78,46.7,1441.5,MEDIUM,True,SYNTHETIC_DEMO
27.15,89.75,Assam,POP_00150,87266,26179,109.68,795.6,873.2,MEDIUM,True,SYNTHETIC_DEMO
27.25,89.75,Assam,POP_00151,36760,11028,109.58,335.4,1390.6,MEDIUM,True,SYNTHETIC_DEMO
27.35,89.75,Assam,POP_00152,78508,23552,109.49,717.1,1451.5,MEDIUM,True,SYNTHETIC_DEMO
27.45,89.75,Assam,POP_00153,6977,4186,109.39,63.8,1871.3,HIGH,True,SYNTHETIC_DEMO
27.55,89.75,Assam,POP_00154,63700,38220,109.29,582.9,2103.2,HIGH,True,SYNTHETIC_DEMO
27.65,89.75,Assam,POP_00155,40729,12218,109.19,373.0,1446.5,MEDIUM,True,SYNTHETIC_DEMO
27.75,89.75,Assam,POP_00156,90888,27266,109.09,833.2,893.5,MEDIUM,True,SYNTHETIC_DEMO
27.85,89.75,Assam,POP_00157,21167,6350,108.99,194.2,1480.7,MEDIUM,True,SYNTHETIC_DEMO
27.95,89.75,Assam,POP_00158,63332,18999,108.89,581.6,1178.9,MEDIUM,True,SYNTHETIC_DEMO
28.05,89.75,Assam,POP_00159,46617,13985,108.79,428.5,1333.5,MEDIUM,True,SYNTHETIC_DEMO
24.15,89.85,Assam,POP_00160,74125,7412,112.47,659.1,455.4,LOW,True,SYNTHETIC_DEMO
24.25,89.85,Assam,POP_00161,30344,3034,112.38,270.0,321.9,LOW,True,SYNTHETIC_DEMO
24.35,89.85,Assam,POP_00162,27677,2767,112.29,246.5,79.4,LOW,True,SYNTHETIC_DEMO
24.45,89.85,Assam,POP_00163,25728,2572,112.21,229.3,486.4,LOW,True,SYNTHETIC_DEMO
24.55,89.85,Assam,POP_00164,41243,12372,112.12,367.9,986.9,MEDIUM,True,SYNTHETIC_DEMO
24.65,89.85,Assam,POP_00165,32019,3201,112.03,285.8,596.4,LOW,True,SYNTHETIC_DEMO
24.75,89.85,Assam,POP_00166,25873,2587,111.94,231.1,696.7,LOW,True,SYNTHETIC_DEMO
24.85,89.85,Assam,POP_00167,47483,4748,111.85,424.5,745.7,LOW,True,SYNTHETIC_DEMO
24.95,89.85,Assam,POP_00168,60650,18195,111.76,542.7,961.2,MEDIUM,True,SYNTHETIC_DEMO
25.05,89.85,Assam,POP_00169,147697,14769,111.67,1322.7,493.6,LOW,True,SYNTHETIC_DEMO
25.15,89.85,Assam,POP_00170,41195,12358,111.58,369.2,814.1,MEDIUM,True,SYNTHETIC_DEMO
25.25,89.85,Assam,POP_00171,141401,42420,111.48,1268.4,889.3,MEDIUM,True,SYNTHETIC_DEMO
25.35,89.85,Assam,POP_00172,92704,27811,111.39,832.2,1202.8,MEDIUM,True,SYNTHETIC_DEMO
25.45,89.85,Assam,POP_00173,50139,15041,111.3,450.5,1039.7,MEDIUM,True,SYNTHETIC_DEMO
25.55,89.85,Assam,POP_00174,111271,33381,111.21,1000.6,929.3,MEDIUM,True,SYNTHETIC_DEMO
25.65,89.85,Assam,POP_00175,46788,4678,111.11,421.1,692.4,LOW,True,SYNTHETIC_DEMO
25.75,89.85,Assam,POP_00176,25184,7555,111.02,226.8,1180.6,MEDIUM,True,SYNTHETIC_DEMO
25.85,89.85,Assam,POP_00177,67564,20269,110.93,609.1,934.0,MEDIUM,True,SYNTHETIC_DEMO
25.95,89.85,Assam,POP_00178,26534,7960,110.83,239.4,881.4,MEDIUM,True,SYNTHETIC_DEMO
26.05,89.85,Assam,POP_00179,52854,15856,110.74,477.3,851.7,MEDIUM,True,SYNTHETIC_DEMO
26.15,89.85,Assam,POP_00180,12521,3756,110.65,113.2,928.9,MEDIUM,True,SYNTHETIC_DEMO
26.25,89.85,Assam,POP_00181,126182,12618,110.55,1141.4,734.2,LOW,True,SYNTHETIC_DEMO
26.35,89.85,Assam,POP_00182,35083,3508,110.46,317.6,681.6,LOW,True,SYNTHETIC_DEMO
26.45,89.85,Assam,POP_00183,22652,2265,110.36,205.3,575.1,LOW,True,SYNTHETIC_DEMO
26.55,89.85,Assam,POP_00184,97000,29100,110.26,879.7,1087.9,MEDIUM,True,SYNTHETIC_DEMO
26.65,89.85,Assam,POP_00185,103865,31159,110.17,942.8,1300.1,MEDIUM,True,SYNTHETIC_DEMO
26.75,89.85,Assam,POP_00186,147829,44348,110.07,1343.0,1052.2,MEDIUM,True,SYNTHETIC_DEMO
26.85,89.85,Assam,POP_00187,14398,4319,109.98,130.9,1204.8,MEDIUM,True,SYNTHETIC_DEMO
26.95,89.85,Assam,POP_00188,31588,18952,109.88,287.5,1869.1,HIGH,True,SYNTHETIC_DEMO
27.05,89.85,Assam,POP_00189,129357,77614,109.78,1178.3,1666.3,HIGH,True,SYNTHETIC_DEMO
27.15,89.85,Assam,POP_00190,60338,36202,109.68,550.1,1763.1,HIGH,True,SYNTHETIC_DEMO
27.25,89.85,Assam,POP_00191,38831,11649,109.58,354.3,1426.1,MEDIUM,True,SYNTHETIC_DEMO
27.35,89.85,Assam,POP_00192,87543,26262,109.49,799.6,958.9,MEDIUM,True,SYNTHETIC_DEMO
27.45,89.85,Assam,POP_00193,42995,12898,109.39,393.1,1132.5,MEDIUM,True,SYNTHETIC_DEMO
27.55,89.85,Assam,POP_00194,31807,9542,109.29,291.0,1090.0,MEDIUM,True,SYNTHETIC_DEMO
27.65,89.85,Assam,POP_00195,20272,6081,109.19,185.7,880.6,MEDIUM,True,SYNTHETIC_DEMO
27.75,89.85,Assam,POP_00196,113000,33900,109.09,1035.8,1174.7,MEDIUM,True,SYNTHETIC_DEMO
27.85,89.85,Assam,POP_00197,33082,19849,108.99,303.5,1523.0,HIGH,True,SYNTHETIC_DEMO
27.95,89.85,Assam,POP_00198,47877,28726,108.89,439.7,1583.7,HIGH,True,SYNTHETIC_DEMO
28.05,89.85,Assam,POP_00199,110791,66474,108.79,1018.4,1762.7,HIGH,True,SYNTHETIC_DEMO
24.15,89.95,Assam,POP_00200,70063,7006,112.47,622.9,0,LOW,True,SYNTHETIC_DEMO
24.25,89.95,Assam,POP_00201,33755,3375,112.38,300.4,340.7,LOW,True,SYNTHETIC_DEMO
24.35,89.95,Assam,POP_00202,54393,5439,112.29,484.4,781.6,LOW,True,SYNTHETIC_DEMO
24.45,89.95,Assam,POP_00203,48332,14499,112.21,430.7,918.4,MEDIUM,True,SYNTHETIC_DEMO
24.55,89.95,Assam,POP_00204,42025,4202,112.12,374.8,798.9,LOW,True,SYNTHETIC_DEMO
24.65,89.95,Assam,POP_00205,81672,8167,112.03,729.0,343.5,LOW,True,SYNTHETIC_DEMO
24.75,89.95,Assam,POP_00206,6788,2036,111.94,60.6,897.5,MEDIUM,True,SYNTHETIC_DEMO
24.85,89.95,Assam,POP_00207,49897,4989,111.85,446.1,672.2,LOW,True,SYNTHETIC_DEMO
24.95,89.95,Assam,POP_00208,144371,43311,111.76,1291.8,1160.1,MEDIUM,True,SYNTHETIC_DEMO
25.05,89.95,Assam,POP_00209,10297,1029,111.67,92.2,337.9,LOW,True,SYNTHETIC_DEMO
25.15,89.95,Assam,POP_00210,7523,752,111.58,67.4,219.6,LOW,True,SYNTHETIC_DEMO
25.25,89.95,Assam,POP_00211,29011,2901,111.48,260.2,773.0,LOW,True,SYNTHETIC_DEMO
25.35,89.95,Assam,POP_00212,43599,4359,111.39,391.4,557.0,LOW,True,SYNTHETIC_DEMO
25.45,89.95,Assam,POP_00213,51779,5177,111.3,465.2,783.7,LOW,True,SYNTHETIC_DEMO
25.55,89.95,Assam,POP_00214,40436,12130,111.21,363.6,1049.4,MEDIUM,True,SYNTHETIC_DEMO
25.65,89.95,Assam,POP_00215,50290,15087,111.11,452.6,1329.9,MEDIUM,True,SYNTHETIC_DEMO
25.75,89.95,Assam,POP_00216,138066,41419,111.02,1243.6,1036.5,MEDIUM,True,SYNTHETIC_DEMO
25.85,89.95,Assam,POP_00217,154600,15460,110.93,1393.7,675.4,LOW,True,SYNTHETIC_DEMO
25.95,89.95,Assam,POP_00218,163087,48926,110.83,1471.4,1319.8,MEDIUM,True,SYNTHETIC_DEMO
26.05,89.95,Assam,POP_00219,113947,34184,110.74,1029.0,1081.7,MEDIUM,True,SYNTHETIC_DEMO
26.15,89.95,Assam,POP_00220,110231,11023,110.65,996.2,697.9,LOW,True,SYNTHETIC_DEMO
26.25,89.95,Assam,POP_00221,73817,22145,110.55,667.7,996.2,MEDIUM,True,SYNTHETIC_DEMO
26.35,89.95,Assam,POP_00222,56515,5651,110.46,511.7,298.0,LOW,True,SYNTHETIC_DEMO
26.45,89.95,Assam,POP_00223,21358,6407,110.36,193.5,1250.8,MEDIUM,True,SYNTHETIC_DEMO
26.55,89.95,Assam,POP_00224,175710,52713,110.26,1593.5,1481.3,MEDIUM,True,SYNTHETIC_DEMO
26.65,89.95,Assam,POP_00225,34457,3445,110.17,312.8,674.5,LOW,True,SYNTHETIC_DEMO
26.75,89.95,Assam,POP_00226,152542,45762,110.07,1385.8,1231.4,MEDIUM,True,SYNTHETIC_DEMO
26.85,89.95,Assam,POP_00227,79620,23886,109.98,724.0,1141.7,MEDIUM,True,SYNTHETIC_DEMO
26.95,89.95,Assam,POP_00228,9711,2913,109.88,88.4,1451.2,MEDIUM,True,SYNTHETIC_DEMO
27.05,89.95,Assam,POP_00229,27758,8327,109.78,252.8,1016.8,MEDIUM,True,SYNTHETIC_DEMO
27.15,89.95,Assam,POP_00230,15467,1546,109.68,141.0,787.9,LOW,True,SYNTHETIC_DEMO
27.25,89.95,Assam,POP_00231,166287,49886,109.58,1517.4,1085.8,MEDIUM,True,SYNTHETIC_DEMO
